CH1V,CH2V,t0 =-4.880000e-05, tInc = 1.000000e-07,
-2.685333e-01,+1.560000e-02,,
-2.676133e-01,+8.666667e-03,,
-2.687600e-01,+2.933333e-02,,
-2.683066e-01,+4.133333e-03,,
-2.669066e-01,+2.240000e-02,,
-2.673733e-01,+6.400000e-03,,
-2.673733e-01,+2.706667e-02,,
-2.669066e-01,+2.480000e-02,,
-2.687600e-01,+3.160000e-02,,
-2.669066e-01,+2.933333e-02,,
-2.685333e-01,+5.453333e-02,,
-2.696933e-01,+2.480000e-02,,
-2.694666e-01,+4.760000e-02,,
-2.680666e-01,+3.613333e-02,,
-2.690000e-01,+5.680000e-02,,
-2.676133e-01,+4.760000e-02,,
-2.690000e-01,+6.826667e-02,,
-2.669066e-01,+6.133333e-02,,
-2.676133e-01,+6.826667e-02,,
-2.666800e-01,+7.960000e-02,,
-2.694666e-01,+7.053334e-02,,
-2.680666e-01,+8.880000e-02,,
-2.694666e-01,+7.960000e-02,,
-2.690000e-01,+7.506667e-02,,
-2.690000e-01,+9.800000e-02,,
-2.706133e-01,+9.333333e-02,,
-2.687600e-01,+1.070667e-01,,
-2.680666e-01,+9.560000e-02,,
-2.696933e-01,+1.048000e-01,,
-2.680666e-01,+1.093333e-01,,
-2.696933e-01,+1.116000e-01,,
-2.703866e-01,+9.800000e-02,,
-2.701600e-01,+1.208000e-01,,
-2.701600e-01,+1.368000e-01,,
-2.703866e-01,+1.208000e-01,,
-2.701600e-01,+1.093333e-01,,
-2.706133e-01,+1.414667e-01,,
-2.703866e-01,+1.368000e-01,,
-2.696933e-01,+1.482667e-01,,
-2.694666e-01,+1.414667e-01,,
-2.708533e-01,+1.597333e-01,,
-2.708533e-01,+1.574667e-01,,
-2.717733e-01,+1.597333e-01,,
-2.717733e-01,+1.574667e-01,,
-2.713200e-01,+1.597333e-01,,
-2.699200e-01,+1.597333e-01,,
-2.699200e-01,+1.757333e-01,,
-2.699200e-01,+1.597333e-01,,
-2.713200e-01,+1.894667e-01,,
-2.710800e-01,+1.802667e-01,,
-2.708533e-01,+1.962667e-01,,
-2.708533e-01,+1.940000e-01,,
-2.724667e-01,+2.077333e-01,,
-2.717733e-01,+1.917333e-01,,
-2.722400e-01,+2.077333e-01,,
-2.720133e-01,+1.985333e-01,,
-2.696933e-01,+2.146667e-01,,
-2.710800e-01,+2.100000e-01,,
-2.701600e-01,+2.146667e-01,,
-2.699200e-01,+2.169333e-01,,
-2.715467e-01,+2.146667e-01,,
